BUCKBL_2_PL1X3,BUCKBL_2_CTG11,GEN,Blythe CTG 11,182,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,
BUCKBL_2_PL1X3,BUCKBL_2_CTG12,GEN,Blythe CTG 12,182,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,
BUCKBL_2_PL1X3,BUCKBL_2_PL1X3,GEN,Blythe Energy Center,493.63,COMBINED CYCLE,NATURAL GAS,SP15,CISO,SCE
BUCKBL_2_PL1X3,BUCKBL_2_STG10,GEN,Blythe STG,227,STEAM,NATURAL GAS,SP15,CISO,
,BUCKCK_2_HYDRO,GEN,Lassen Station Hydro,0.99,HYDRO,WATER,NP15,CISO,PGAE
,BUCKCK_7_OAKFLT,GEN,Oak Flat,1.3,HYDRO,WATER,NP15,CISO,PGAE
BUCKCK_7_PL1X2,BUCKCK_7_PL1X2,GEN,BUCKS CREEK AGGREGATE,57.25,HYDRO,WATER,NP15,CISO,PGAE
BUCKCK_7_PL1X2,BUCKCK_7_UNIT 1,GEN,Bucks Creek Unit #1,33,HYDRO,WATER,NP15,CISO,
BUCKCK_7_PL1X2,BUCKCK_7_UNIT 2,GEN,Bucks Creek Unit #2,32.5,HYDRO,WATER,NP15,CISO,
,BUCKWD_1_NPALM1,GEN,North Palm Springs 1A,2.4,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BUCKWD_7_WINTCV,GEN,Wintec Energy Ltd.,1.32,WIND,WIND,SP15,CISO,SCE
CDWR07_2_GEN,BUENVS_2_NSPIN,GEN,BUENVS_2_NSPIN,104.4,PUMP,WATER,ZP26,CISO,
,BURNYF_2_UNIT 1,GEN,Burney Forest Power,31,STEAM,BIOMASS,NP15,CISO,PGAE
,BUTTVL_7_UNIT 1,GEN,BUTT VALLEY HYDRO,39.5,HYDRO,WATER,NP15,CISO,PGAE
,CABZON_1_WINDA1,GEN,Cabazon Wind Project,41,WIND,WIND,SP15,CISO,SCE
,CALFTN_2_SOLAR,GEN,California Flats North,130,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
CALGEN_1_UNITS,CALGEN_1_UNIT 1,GEN,CALGEN_1_UNIT 1,32.2,,,SP15,CISO,
CALGEN_1_UNITS,CALGEN_1_UNIT 2,GEN,CALGEN_1_UNIT 2,30,,,SP15,CISO,
CALGEN_1_UNITS,CALGEN_1_UNIT 3,GEN,CALGEN_1_UNIT 3,30,,,SP15,CISO,
CALGEN_1_UNITS,CALGEN_1_UNITS,GEN,Coso Navy 1,92.2,COMBUSTION TURBINE,GEOTHERMAL,SP15,CISO,SCE
,CALPIN_1_AGNEW,GEN,Agnews Power Plant,28,COMBUSTION TURBINE,NATURAL GAS,NP15,CISO,PGAE
,CALPSS_6_SOLAR1,TG,Calipatria Solar Farm,19.9,PHOTO VOLTAIC,SUN,SP15,IID,SDGE
CAMCHE_1_PL1X3,CAMCHE_1_PL1X3,GEN,CAMANCHE UNITS  1 2 &  3 AGGREGATE,9.99,HYDRO,WATER,NP15,CISO,PGAE
CAMCHE_1_PL1X3,CAMCHE_1_UNIT 1,GEN,Camanche 1,3.3,HYDRO,WATER,NP15,CISO,
CAMCHE_1_PL1X3,CAMCHE_1_UNIT 2,GEN,Camanche 2,3.3,HYDRO,WATER,NP15,CISO,
CAMCHE_1_PL1X3,CAMCHE_1_UNIT 3,GEN,Camanche 3,3.7,HYDRO,WATER,NP15,CISO,
,CAMLOT_2_SOLAR1,GEN,Camelot,45,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CAMLOT_2_SOLAR2,GEN,Columbia Two,15,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CAMPFW_7_FARWST,GEN,CAMP FAR WEST HYDRO,8,HYDRO,WATER,NP15,CISO,PGAE
,CANTUA_1_SOLAR,GEN,Cantua Solar Station,20,PHOTO VOLTAIC,SUN,NP15,CISO,PGAE
,CAPMAD_1_UNIT 1,GEN,CAPCO MADERA Power Plant,24,STEAM,BIOMASS,NP15,CISO,PGAE
